2026-05-26T01:42:45.862+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-1] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:42:45 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | ReceiptService.getAll() | Результат: Page 1 of 2 containing com.cinema.api.dto.ReceiptRs instances
2026-05-26T01:42:45.874+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-2] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:42:45 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | ComboService.getAll() | Результат: [com.cinema.api.dto.ComboRs@6168c26f, com.cinema.api.dto.ComboRs@391872c8, com.cinema.api.dto.ComboRs@6731f1f5, com.cinema.api.dto.ComboRs@7432257a, com.cinema.api.dto.ComboRs@536efa29, com.cinema.api.dto.ComboRs@299a5cbe]
2026-05-26T01:42:45.885+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-5] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:42:45 | ВЫЗОВ МЕТОДА | ReceiptService.getAll() | Аргументы: [Page request [number: 0, size 10, sort: date: DESC]]
2026-05-26T01:42:45.946+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-5] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:42:45 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | ReceiptService.getAll() | Результат: Page 1 of 2 containing com.cinema.api.dto.ReceiptRs instances
2026-05-26T01:42:47.158+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-3] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:42:47 | ВЫЗОВ МЕТОДА | AuthService.getProfile() | Аргументы: [1]
2026-05-26T01:42:47.167+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-3] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:42:47 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | AuthService.getProfile() | Результат: com.cinema.api.dto.ProfileRs@72252436
2026-05-26T01:42:47.193+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-6] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:42:47 | ВЫЗОВ МЕТОДА | AuthService.getProfile() | Аргументы: [1]
2026-05-26T01:42:47.196+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-6] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:42:47 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | AuthService.getProfile() | Результат: com.cinema.api.dto.ProfileRs@1c883323
2026-05-26T01:43:20.584+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-8] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:43:20 | ВЫЗОВ МЕТОДА | AuthService.changePassword() | Аргументы: [1, admin123, admin]
2026-05-26T01:43:21.291+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-8] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:43:21 | АУТЕНТИФИКАЦИЯ | Логин: admin | УСПЕШНО
2026-05-26T01:43:21.292+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-8] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:43:21 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | AuthService.changePassword() | Результат: void
2026-05-26T01:43:27.949+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-9] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:43:27 | ВЫЗОВ МЕТОДА | AuthService.authenticate() | Аргументы: [com.cinema.api.dto.AuthRq@aab5cf2]
2026-05-26T01:43:28.537+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-9] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:43:28 | АУТЕНТИФИКАЦИЯ | Логин: admin | УСПЕШНО
2026-05-26T01:43:28.537+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-9] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:43:28 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | AuthService.authenticate() | Результат: com.cinema.api.dto.AuthRs@1d39683b
2026-05-26T01:46:19.747+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-1] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:46:19 | ВЫЗОВ МЕТОДА | AuthService.getProfile() | Аргументы: [1]
2026-05-26T01:46:19.750+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-1] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:46:19 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | AuthService.getProfile() | Результат: com.cinema.api.dto.ProfileRs@1a29faa3
2026-05-26T01:46:27.398+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-3] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:46:27 | ВЫЗОВ МЕТОДА | AuthService.getProfile() | Аргументы: [1]
2026-05-26T01:46:27.401+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-3] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:46:27 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | AuthService.getProfile() | Результат: com.cinema.api.dto.ProfileRs@2cb68e9b
2026-05-26T01:46:27.416+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-6] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:46:27 | ВЫЗОВ МЕТОДА | AuthService.getProfile() | Аргументы: [1]
2026-05-26T01:46:27.419+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-6] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:46:27 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | AuthService.getProfile() | Результат: com.cinema.api.dto.ProfileRs@2db94b75
2026-05-26T01:46:40.726+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-7] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:46:40 | ВЫЗОВ МЕТОДА | AuthService.getProfile() | Аргументы: [1]
2026-05-26T01:46:40.729+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-7] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:46:40 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | AuthService.getProfile() | Результат: com.cinema.api.dto.ProfileRs@12690ed3
2026-05-26T01:46:40.744+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-10] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:46:40 | ВЫЗОВ МЕТОДА | AuthService.getProfile() | Аргументы: [1]
2026-05-26T01:46:40.747+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-10] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:46:40 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | AuthService.getProfile() | Результат: com.cinema.api.dto.ProfileRs@9cced3a
2026-05-26T01:46:42.508+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-4] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:46:42 | ВЫЗОВ МЕТОДА | ProductService.getAll() | Аргументы: [Page request [number: 0, size 10, sort: UNSORTED]]
2026-05-26T01:46:42.520+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-4] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:46:42 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | ProductService.getAll() | Результат: Page 1 of 2 containing com.cinema.api.dto.ProductRs instances
2026-05-26T01:46:42.538+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-1] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:46:42 | ВЫЗОВ МЕТОДА | ProductService.getAll() | Аргументы: [Page request [number: 0, size 10, sort: UNSORTED]]
2026-05-26T01:46:42.547+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-1] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:46:42 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | ProductService.getAll() | Результат: Page 1 of 2 containing com.cinema.api.dto.ProductRs instances
2026-05-26T01:46:43.496+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-2] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:46:43 | ВЫЗОВ МЕТОДА | MerchandiseService.getAll() | Аргументы: [Page request [number: 0, size 10, sort: UNSORTED]]
2026-05-26T01:46:43.501+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-2] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:46:43 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | MerchandiseService.getAll() | Результат: Page 1 of 1 containing com.cinema.api.dto.MerchandiseRs instances
2026-05-26T01:46:43.526+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-5] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:46:43 | ВЫЗОВ МЕТОДА | MerchandiseService.getAll() | Аргументы: [Page request [number: 0, size 10, sort: UNSORTED]]
2026-05-26T01:46:43.530+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-5] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:46:43 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | MerchandiseService.getAll() | Результат: Page 1 of 1 containing com.cinema.api.dto.MerchandiseRs instances
